Location,avg_sentiment_score,total_reviews
Jakarta Selatan,0.037037037037037035,297
Kab. Bandung,0.1836734693877551,49
Kota Surakarta,-1.0,4
Kota Tasikmalaya,-0.8,20
Kab. Bogor,0.2,5
Pekalongan,0.5,4
Kab. Sukoharjo,0.2,5
Kota Bogor,-0.05,40
Kota Palembang,-0.2222222222222222,36
Kab. Pemalang,0.16666666666666666,12
Kota Medan,0.3333333333333333,3
Kab. Malang,-1.0,2
Jakarta Utara,0.003436426116838488,873
Kab. Kediri,0.375,16
Kota Palangkaraya,1.0,2
Kab. Mojokerto,-0.3333333333333333,3
Kab. Tulungagung,0.8,10
Kab. Tangerang,-0.20506329113924052,395
Kab. Garut,1.0,7
Jakarta Barat,-0.07347254447022429,1293
Depok,1.0,3
Kab. Sleman,0.125,16
Jakarta Pusat,-1.0,1
Kota Malang,0.1111111111111111,9
Jakarta Pusat,-0.09554140127388536,471
Bekasi,1.0,3
Kab. Semarang,1.0,5
Kab Bandung,-1.0,2
Kab.�Bekasi,-0.3333333333333333,21
Kota Semarang,0.23076923076923078,13
Kota Bandar Lampung,-1.0,2
Kota Makassar,1.0,3
Kab Bekasi,1.0,4
Kab. Tegal,1.0,7
Kota Depok,-1.0,4
Kota Batam,0.0,4
Kota Bekasi,-0.06878306878306878,189
Kab. Sidoarjo,-0.5,12
Surabaya,-0.3333333333333333,3
Kabupaten Sukoharjo,-1.0,2
Kab. Bandung Barat,0.0,4
Kab. Serang,0.125,32
Kota Tangerang Selatan,0.09236947791164658,249
Kota Bandung,-0.03184713375796178,157
Kab. Cianjur,-1.0,3
Jakarta Timur,-0.08602150537634409,372
Bandung,0.6,20
Sidoarjo,-1.0,2
Kab. Batang,0.3333333333333333,3
Kota Denpasar,0.16666666666666666,12
Jakarta Barat,-1.0,1
Kab. Sukabumi,-1.0,2
Jakarta Utara,-0.5,4
Kota Cimahi,-0.047619047619047616,21
Kota Surabaya,0.021739130434782608,92
Kab. Klaten,-0.42857142857142855,7
Kota Tangerang,-0.20673076923076922,416
Jakarta Barat,-1.0,1
Kab. Bekasi,-0.8,10
Kab. Pekalongan,-1.0,5
Kota Depok,-0.10948905109489052,137
